date,open,high,low,close,volume,daily_return,volatility_20,cum_max,drawdown
2024-02-28,182.51,183.12,180.13,181.42,48953939,-0.006625417510814247,0.008780587282346413,195.18,-0.07049902653960456
2024-02-29,181.27,182.57,179.53,180.75,136682600,-0.0036930878624186203,0.007767923762410323,195.18,-0.07393175530279746
2024-03-01,179.55,180.53,177.38,179.66,73563100,-0.006030428769018048,0.007065507542313981,195.18,-0.07951634388769346
2024-03-04,176.15,176.9,173.79,175.1,81510101,-0.025381275743070253,0.008784191434086512,195.18,-0.10287939338046938
2024-03-05,170.76,172.04,169.62,170.12,95132400,-0.02844089091947455,0.009946547388041403,195.18,-0.12839430269494825
2024-03-06,171.06,171.24,168.68,169.12,68587707,-0.005878203620973466,0.009426868188758758,195.18,-0.1335177784609079
2024-03-07,169.15,170.73,168.49,169.0,71765100,-0.0007095553453169146,0.009386821150402553,195.18,-0.13413259555282306
2024-03-08,169.0,173.7,168.94,170.73,76267041,0.010236686390532546,0.010035405991851617,195.18,-0.12526898247771295
2024-03-11,172.94,174.38,172.05,172.75,60139500,0.01183154688689747,0.010585025481156972,195.18,-0.11491956143047447
2024-03-12,173.15,174.03,171.01,173.23,59825400,0.002778581765557009,0.01064260619386263,195.18,-0.1124602930628139
2024-03-13,172.77,173.19,170.76,171.13,52488700,-0.01212261155688965,0.010675587096320915,195.18,-0.12321959217132908
2024-03-14,172.91,174.31,172.05,173.0,72913507,0.010927365160988689,0.011169298428640756,195.18,-0.11363869248898456
2024-03-15,171.17,172.62,170.29,172.62,121752700,-0.0021965317919074856,0.011165816694036117,195.18,-0.1155856132800492
2024-03-18,175.57,177.71,173.52,173.72,75604200,0.006372378635152387,0.011283148186678308,195.18,-0.10994978993749363
2024-03-19,174.34,176.61,173.03,176.08,55215244,0.01358507943817644,0.011818825517976583,195.18,-0.09785838712982885
2024-03-20,175.72,178.67,175.09,178.67,53423102,0.014709223080417777,0.01230774314159221,195.18,-0.08458858489599354
2024-03-21,177.05,177.49,170.84,171.37,106181300,-0.04085744668942737,0.014845772744436395,195.18,-0.12198995798749873
2024-03-22,171.76,173.05,170.06,172.28,71160138,0.005310147633774909,0.014889101546202493,195.18,-0.11732759504047548
2024-03-25,170.57,171.94,169.45,170.85,54288328,-0.008300441142326531,0.014904338791853947,195.18,-0.12465416538579778
2024-03-26,170.0,171.42,169.58,169.71,57388449,-0.00667251975417027,0.014698799365195072,195.18,-0.13049492775899169
2024-03-27,170.41,173.6,170.11,173.31,60273300,0.02121265688527485,0.0156784474807031,195.18,-0.11205041500153706
2024-03-28,171.75,172.23,170.51,171.48,65672700,-0.010559113726847924,0.015788430640481986,195.18,-0.12142637565324324
